Company,Sector,Stage,Amount($),HeadQuater,What it does,year,Founded,HeadQuarter,Founders,Investor,What_it_does,column10,Company_Brand
Rupeek,"Financial Services, Lending",Series A,6830000.0,"Bangalore, Karnataka, India",Rupeek is an asset backed online lending platform currently operating in the space of Gold loans.,2018,,,,,,,
Backpacker Panda Holidays Private Limited,"Tourism, Travel",Series A,1400000.0,"Pune, Maharashtra, India",Backpacker Panda is creating an ecosystem for youth accommodation and travel.,2018,,,,,,,
Shape (School Health and Physical Education),Education,Seed,200000.0,"Pune, Maharashtra, India",Physical education start up,2018,,,,,,,
Placio,"Hospitality, Real Estate",Seed,2000000.0,"Noida, Uttar Pradesh, India",Placio is a student housing and a complete broker-free platform.,2018,,,,,,,
Aviom India Housing Finance,Finance,Series A,2250000.0,"New Delhi, Delhi, India",Delhi based housing finance company.,2018,,,,,,,
GenRobotic,Market Research,Seed,,"Trivandrum, Kerala, India",A Robotic Company.,2018,,,,,,,
HeyHolidays,"Tourism, Travel",Seed,1000000.0,"Bangalore, Karnataka, India","HeyHolidays, a global player in online vacation rentals.",2018,,,,,,,
Pratilipi,"Digital Media, EBooks, Publishing, Reading Apps",Series A,4300000.0,"Bengaluru, Karnataka, India",Amazon's Kindle Direct Publishing for Indian Languages,2018,,,,,,,
SectorQube,"Consumer Electronics, Embedded Systems, Hardware, Smart Building, Software",Seed,,"Ernakulam, Kerala, India",SectorQube develops smart kitchen devices that make food automatically.,2018,,,,,,,
Food Memories,"Food and Beverage, Food Processing",Seed,,"Ahmedabad, Gujarat, India",Iconic Indian Delicacies from the most renowned vendors of India Delivered Globally.,2018,,,,,,,
ZAMROO,"Internet, Marketplace, Shopping",Seed,,"India, Asia",Zamroo is a growing mobile marketplace that allows users to buy and sell locally.,2018,,,,,,,
Silversparro Technologies Pvt. Ltd,"Analytics, Computer Vision, Enterprise Software, Machine Learning, Natural Language Processing, Speech Recognition",Seed,300000.0,"Gurgaon, Haryana, India",Silversparro is a deep learning technology solution provider.,2018,,,,,,,
Creator’s Gurukul,Facilities Support Services,Angel,,"Gurgaon, Haryana, India",A coworking space provider.,2018,,,,,,,
Emflux Motors,"Automotive, Electric Vehicle, Energy",Seed,364846.0,"Bengaluru, Karnataka, India",Emflux Motors is committed to bring clean and sustainable energy into a state of universal acceptance through technological innovation.,2018,,,,,,,
Tricog Health Services Pvt Ltd,"Health Care, Health Diagnostics, Predictive Analytics",Series A,4000000.0,"Bangalore, Karnataka, India",Predictive Healthcare Analytics Company,2018,,,,,,,
Scapic,"Cloud Computing, Computer, SaaS, Software",Seed,500000.0,"Bangalore, Karnataka, India",Virtual/Augmented Reality Start Up .,2018,,,,,,,
6Degree,"Fashion, Lifestyle, Retail",Seed,400000.0,"Mumbai, Maharashtra, India",A fashion enterprise that provides a launchpad to fashion talent and brands using a tech enabled platform,2018,,,,,,,
Chrysalis (EZ Vidya),Education,Seed,,"Chennai, Tamil Nadu, India",Chrysalis (EZ Vidya) is India’s leading educational research and innovation organization,2018,,,,,,,
Ekincare,Medical,Series A,1500000.0,"Hyderabad, Andhra Pradesh, India",EKincare empowers you to take charge of your health by enabling you to monitor critical medical info and make it available anywhere.,2018,,,,,,,
Streo,Music Streaming,Seed,,"Gurgaon, Haryana, India","Live stream music from nightclubs, bars & festivals!",2018,,,,,,,
Groww,"Finance, Impact Investing, Internet",Seed,120000.0,"Kormangala, Karnataka, India",Groww offers a new way of investing money.,2018,,,,,,,
Cell Propulsion,—,Seed,105000.0,"Bangalore, Karnataka, India",Cell Propulsion is an electric mobility startup that designs autonomous electric vehicles.,2018,,,,,,,
Chezuba,"Internet, Social Entrepreneurship",Angel,21000.0,"Hyderabad, Andhra Pradesh, India",Chezuba is a web-based platform enabling skilled professionals to volunteer online with Non-profits worldwide,2018,,,,,,,
Ontrack Technologies Pvt. Ltd,Retail,Seed,,"Bangalore, Karnataka, India",Ontrack provides affordable independent transport to those dependent on cabs and autos for commute by renting bikes on a monthly basis.,2018,,,,,,,
Wealthtrust,"Finance, Impact Investing, Mobile Apps",Seed,500000.0,"Mumbai, Maharashtra, India",Wealthtrust offers a wealth manager application that enables its users to invest and manage their investments online.,2018,,,,,,,
Faclon Labs,"Cloud Computing, Computer, Software",Seed,,"Mumbai, Maharashtra, India",Faclon is an IoT and data analytics based tech startup building products to make cities and villages smart.,2018,,,,,,,
Awign Enterprises,"Business Development, Market Research, Outsourcing",Seed,750000.0,"Bangalore, Karnataka, India",Operations and manpower outsourcing startup,2018,,,,,,,
CollPoll,Education,Seed,,"Bangalore, Karnataka, India",World-class Enterprise System for Education.,2018,,,,,,,
Zyla Health,"Health Care, Hospitality",Seed,,"New Delhi, Delhi, India",Zyla is transforming the way healthcare is delivered in India with specific focus on high-risk chronic patients.,2018,,,,,,,
Hubhopper,"Internet, Social News, Sports",Series A,500000.0,"Delhi, Delhi, India",Get your daily dose of interest as summaries from news and magazine stories .,2018,,,,,,,
Rubix108 Technologies,Information Technology,Seed,1000000.0,"Pune, Maharashtra, India",Rubix Total App makes it effortless for Institutes to send home important information and updates about the day’s learning experiences.,2018,,,,,,,
Workflexi,Human Resources,Seed,150000.0,"Bangalore, Karnataka, India","Be Smart, Work on Contract,Be Smart, Hire on Contract",2018,,,,,,,
Streak,Financial Services,Seed,337500.0,"Bangalore, Karnataka, India",Algorithmic trading platform.,2018,,,,,,,
Kuants,Financial Services,Seed,75000.0,"Gurgaon, Haryana, India",Algorithmic trading platform.,2018,,,,,,,
NiYO Solutions,"Finance, Financial Services, FinTech",Series A,13200000.0,"Bangalore, Karnataka, India",NiYO is a fintech company that helps salaried employees access company benefits and other financial services.,2018,,,,,,,
Hippo Video,"Customer Service, Software, Video, Video Streaming",Seed,,"Chennai, Tamil Nadu, India",A video recording and sharing software.,2018,,,,,,,
Satvacart,"E-Commerce, Food Processing",Seed,,"Gurgaon, Haryana, India",Satvacart is a Gurgaon’s largest online supermarket,2018,,,,,,,
Daaki,Health Care,Angel,,"Bangalore, Karnataka, India",Sports Nutrition startup,2018,,,,,,,
Simulanis,Training,Seed,500000.0,"New Delhi, Delhi, India",A Delhi-based Augmented Reality and Virtual Reality technology development company.,2018,,,,,,,
MY CHIRAAG CAB,Travel,Seed,1000000.0,"Jaipur, Rajasthan, India",MY CHIRAAG CAB SERVICES PVT LTD,2018,,,,,,,
WOTU,Food and Beverage,Seed,,"Bangalore, Karnataka, India",It operates a business-to-business e-commerce portal for food and beverages.,2018,,,,,,,
Flathalt,—,Angel,50000.0,"Gurgaon, Haryana, India",FInd your Customized Home here.,2018,,,,,,,
True Elements,"Dietary Supplements, Food and Beverage, Health Care, Organic Food, Snack Food",Seed,750000.0,"Pune, Maharashtra, India",True elements offers a range of high-quality snacks and supplements that are inspired by natural foods consumed by our ancestors.,2018,,,,,,,
Trendlyne Technologies,Financial Services,Seed,200000.0,"Bangalore, Karnataka, India",Trendlyne Technologies is a stock market analytics platform and marketplace for retail investors.,2018,,,,,,,
Planys Technologies,"Manufacturing, Oil and Gas, Robotics",Series A,2103000.0,"Chennai, Tamil Nadu, India",Planys Technologies is India’s first and only manufacturer of compact ROVs providing underwater robotic inspection and survey solutions.,2018,,,,,,,
HealthPlix,"Fitness, Health Care, Wellness",Series A,3000000.0,"Bangalore, Karnataka, India",HealthPlix is a healthtech startup,2018,,,,,,,
dishq,—,Seed,400000.0,"Bengaluru, Karnataka, India",dishq leverages food science and machine learning (AI) to understand and predict people's tastes.,2018,,,,,,,
Entropik Technology,"Artificial Intelligence, Computer, Machine Learning",Seed,1100000.0,"Bengaluru, Karnataka, India",The boundaries between Human and Machines are shrinking fast.,2018,,,,,,,
myHQ,"Collaboration, Communities, Coworking, Sharing Economy",Series A,500000.0,"Delhi, Delhi, India",myHQ turns your everyday coffee space into a perfect work zone. Get an amazing work environment without paying any rent.,2018,,,,,,,
Trell,—,Seed,1250000.0,"Bangalore City, Karnataka, India",Trell is a location based network which helps you in exploring amazing experiences and annotating places around you.,2018,,,,,,,
Kidovators (by GyanLab),"Big Data, EdTech, Machine Learning",Seed,180000.0,"Bangalore, Karnataka, India",Building future human capital through 21st Century Skills programs for K-12,2018,,,,,,,
Log 9 Materials,Nanotechnology,Seed,450000.0,"Uttar Pradesh, India, Asia",Log 9 Materials is a nano-materials manufacturing and RnD startup,2018,,,,,,,
VTION,"Analytics, Audio, Digital Media, Innovation Management, Internet Radio, Media and Entertainment",Seed,288000.0,"Gurgaon, Haryana, India",VTION is a media technology innovation firm aiming to solve key problems in the media based ecosystem.,2018,,,,,,,
HousingMan.com,—,Seed,1545000.0,"Bengaluru, Karnataka, India","New Apartments, Flats for Sale in Bangalore",2018,,,,,,,
Steradian Semiconductors,—,Seed,,"Bangalore, Karnataka, India",It is a fabless semiconductor company focused on CMOS millimeter wave products for Radar.,2018,,,,,,,
RupeeCircle,"Financial Services, Lending, Peer to Peer",Seed,600000.0,"Mumbai, Maharashtra, India",RupeeCircle is a new age finance company.,2018,,,,,,,
