Company,Sector,Stage,Amount($),HeadQuater,What it does,year,Founded,HeadQuarter,Founders,Investor,What_it_does,column10,Company_Brand
Winuall,Edtech,,2000000.0,,,2020,2019.0,Bangalore,"Ashwini Purohit, MS Chouhan","Amit Lakhotia, Akash Gehani","Winuall specializes in the fields of E-learning, online quizzes, and tests, study material for competitive exams.",,
Genrobotics,AI startup,,300000.0,,,2020,2015.0,"Trivandrum, Kerala, India","Arun George, Nikhil NP, Rashid Bin Abdulla, Vimal Govind MK",Unicorn India Ventures,GenRobotic specializes in powered robotic exoskeletons with RC controlled humanoid robotic systems and Artificial Intelligence.,,
Livve,Rental space,Seed,1500000.0,,,2020,2015.0,Cochin,Maya Lakshman,,An online platform where both owners and tenants find help in making sure their rental transaction are safe and secure.,,
Ergos,AgriTech,Series A,5000000.0,,,2020,2012.0,"Samastipur, Bihar","Kishor Kumar Jha, Praveen Kumar","Aavishkaar Venture Capital, Chiratae Ventures",Ergos is building an integrated supply chain by setting up micro warehouses.,,
Krishitantra,Soil-Tech,Seed,1000000.0,,,2020,2017.0,Hyderabad,"Sandeep Kondaji, Vishnuprasada Bhat, Anand Bellan Raman","NABVENTURES, Omnivore",Krishi-Tantra is an Agri-IoT startup building farm automation for controlled agricultural environment.,,
PakkaProfile,Recruitment startup,Seed,,,,2020,2019.0,Bangalore,"Nagmanjunath Shivakumar, Savio Sebastian",Java Capital,"PakkaProfile bridges the gap between companies and the workforce by making better, unbiased decisions with the help of psychometric games",,
Monet Networks,AI startup,Bridge,500000.0,,,2020,2014.0,"Irvine, California, United States",Anurag Bist,"SenseAI Ventures, EvoNexus",Monet Networks Using sentiment and non verbal cues analysis for increased engagement and real time content feedback.,,
Unocoin,FinTech,Series A,,,,2020,2013.0,"Tumkur, Karnataka","Abhinand Kaseti, Harish B V, Sathvik Vishwanath, Sunny Ray","Digital Finance Group, FundersClub","Unocoin is an Indian bitcoin processor that enables users to buy, sell, store, use, and accept bitcoins.",,
Pesto,Edtech,,,,,2020,2017.0,New Delhi,"Andrew Linfoot, Ayush Jaiswal","Sriharsha Majety, Rahul Jaimini",Pesto is a career accelerator for software engineers with the mission to take opportunities to places where talent exists.,,
NirogStreet,Ayurveda tech,Pre-series A,2000000.0,,,2020,2016.0,Gurugram,Ram N Kumar,"Wavemaker Partners, Subho Ray",NirogStreet is an Ayurvedic doctor discovery and appointment booking platform where patients can easily find doctors and fix consultation.,,
Bambrew,Packaging solution startup,Pre-seed,,,,2020,2018.0,Bangalore,Vaibhav Anant,Upsparks,Bambrew is an online shop for reusable bamboo straws.,,
Omnify,SaaS startup,Pre-series A,,,,2020,2016.0,"San Francisco Bay Area, Silicon Valley, West Coast","Kabandi Saika, Manik Mehta","Saurabh Arora, LD Sharma",Omnify is a Global SaaS platform for Small Services Business,,
Fanball XI,Gaming,Seed,1000000.0,,,2020,,New Delhi,Vinayak Seth,Foxhog Ventures,The gaming company mostly focused on fantasy football games,,
Treebo Hotels,Hospitality,,6000000.0,,,2020,2015.0,Bangalore,"Kadam Jeet Jain, Rahul Chaudhary, Sidharth Gupta","Ramesh Mangaleswaran, Saikiran Krishnamurthy","Treebo is India's tech-enabled, asset-light affordable accommodation brand.",,
GPS Renewables,Cleantech,Series A,3000000.0,,,2020,2010.0,Bangalore,"Mainak, Sreekrishna","Triodos, Caspian",To solve the urban waste problem by utilising local technologies and business models.,,
Public,Social Media,,30000000.0,,,2020,2019.0,New Delhi,Azhar Iqubal,"Lee Fixel's Addition, SIG Global, Tanglin Venture Partners",Video-led social app Public provides users with a platform to share and view important hyperlocal videos,,
Legal Salah,LegalTech,Seed,1000000.0,,,2020,2015.0,Kolkata,CA Abhinit Singh,I2I Capitals,Legal Salah is bringing the provision of imparting value based legal and consultancy services to the user.,,
FanPlay,Gaming,Seed,,,,2020,2018.0,New Delhi,"Bharat Gupta, Pritesh Kumar","Core91 Fund, Anupam Mittal",FanPlay Technologies operates as a real-money gaming startup.,,
ECOSTP,Sanitation solutions,,19000000.0,,,2020,2017.0,Bangalore,"Simar Kohli, Tharun Kumar, Praseed KK",Terwilliger Centre,Eco friendly zero power zero maintenance sewage treatment plant in India.,,
Coralogix,SaaS startup,Series B,25000000.0,,,2020,2013.0,"San Francisco, California, United States","Ariel Assaraf, Guy Kroupp, Lior Redlus, Yoni Farin","2B Angels, Janvest Capital Partners",Coralogix is a log analytics SaaS platform that improves the delivery and maintenance process for software providers.,,
Equiwatt,Tech company,,300000.0,,,2020,2015.0,"Newcastle Upon Tyne, Newcastle upon Tyne, United Kingdom","Johnson Fernandes, Ravneet Kaur",Rising Stars,Equiwatt is a digital platform enabling households to get paid for saving energy at peak times.,,
Reliance Retail Ventures,E-commerce,,800000000.0,,,2020,2006.0,Mumbai,Mukesh Ambani,"General Atlantic, Kohlberg Kravis Roberts","Reliance Retail offers online shopping and a chain of neighborhood stores, supermarkets, and wholesale/specialty stores.",,
Zhangmen,Edtech,,400000000.0,,,2020,2005.0,"Shanghai, China",Yi Zhang,"CICC Alpha, VMS Asset Management",Zhangmen is an online tutoring platform provides tutoring courses to students.,,
AgroWave,AgriTech,,500000.0,,,2020,2017.0,Gurugram,Anu Meena,Sekhar Puli,Agrowave engages in transforming agriculture supply chain by connecting farms to businesses.,,
Sapio Analytics,Tech company,,150000.0,,,2020,2018.0,Mumbai,"Ashwin Srivastava, Hardik Somani",,Sapio Analytics provides AI-powered policymaking solutions for government institutions.,,
Taimei,HealthCare,,176000000.0,,,2020,2013.0,"Jiaxing, Zhejiang, China",Lu Zhao,"Cowin Venture, ZSVC",Taimei Technology provides a cloud platform for clinical research collaboration.,,
Avanse Financial Services,FinTech,,15000000.0,,,2020,2012.0,Mumbai,Amit Gainda,International Finance Corporation,"Avanse, regulated by the Reserve Bank of India, is an education finance company that operates as a non-banking finance company (NBFC).",,
Industry Buying,E-commerce,,15000000.0,,,2020,2013.0,New Delhi,"Rahul Gupta, Swati Gupta","BlackSoil, BEENEXT",India's largest industrial ecommerce platform,,
Hopscotch,E-commerce,,25000000.0,,,2020,2011.0,Mumbai,Rahul Anand,"Marc Lore, Rise Capital","Hopscotch provides an insider access to international brands for babies, kids, and moms.",,
Pristyn Care,HealthCare,,11000000.0,,,2020,2018.0,Gurugram,Harsimarbir (Harsh) Singh,"Sequoia Capital India, Hummingbird Ventures",Pristyn Care is Health Care Startup that is disrupting Day Care Procedures.,,
WoodenStreet,Home Design,,1000000.0,,,2020,2015.0,Rajastan,"Dinesh Pratap, Lokendra Ranawat, Vikas Baheti, Virendra Ranawat","IAN Fund, Rajasthan Venture Capital Fund",Wooden Street is a online furniture platform that provides custom made & ready to order furniture.,,
ACKO,InsureTech,,60000000.0,,,2020,2016.0,Mumbai,"Ruchi Deepak, Varun Dua","RPS Ventures, Intact Ventures",Acko General Insurance is a private sector general insurance company in India.,,
Farmers Fresh Zone,AgriTech,,470000.0,,,2020,2015.0,Kochi,Pradeep PS,"Artha India Ventures, Nagaraja Prakasam",FarmersFZ is an online venture for fresh and safe vegetables and agri products.,,
Invento,AI Startup,,,,,2020,2016.0,Bangalore,"Balaji Viswanathan, Bharat Kumar, Mahalakshmi Radhakrishnan","Chiripal Group, Ratish Kumar Nair",Invento Robotics specializes in developing service robots intended for customer interactions.,,
Infurnia,Tech Startup,,240000.0,,,2020,2014.0,Bangalore,"Lovepreet Mann, Nikhil Kumar, Parul Jain","Pallav Nadhani, Idein Ventures",Infurnia Technologies is an eponymous cloud-based architecture design software platform.,,
AnalytIQSports's SuperCric,Entertainment,,,,,2020,2019.0,Bangalore,"Suhail Chandhok, Arvind Sivdas, Dhanya Param",,SuperCric is India's first strategy Cricket Manager simulation game,,
Snowflake,Tech company,,3000000000.0,,,2020,2012.0,California,"Benoit Dageville, Bob Muglia, Marcin Zukowski, Thierry Cruanes","Salesforce Ventures, Dragoneer Investment Group",Snowflake is a cloud data platform that provides a data warehouse-as-a-service designed for the cloud.,,
GenieTalk,Tech company,,750000.0,,,2020,2016.0,Indore,"Santosh Kataria, Ankit Kimtee, Vivek Jain",,GenieTalk as a virtual assistant uses AI to bring conversation commerce with a personalised experience on the app.,,
Classplus,EdTech,,10000000.0,,,2020,2018.0,Noida,"Bhaswat Agarwal, Bikash Dash, Mukul Rustagi, Vatsal Rustagi","Spiral Ventures, Surge",Classplus offers a mobile-first SaaS platform for 3000+ tutors to offer their curriculum and operations completely online.,,
Mobile Premier League,Entertainment,,74000000.0,,,2020,2018.0,Bangalore,"Sai Srinivas Kiran G, Shubham Malhotra","Sequoia Capital India, Times Internet",Mobile Premier League(MPL) is a skill based E-Sports platform where you can play your favourite mobile games,,
Fourth Partner Energy,Solar solution,,16000000.0,,,2020,2010.0,Hyderabad,"Saif Dhorajiwala, Vikas saluguti, Vivek Subramanian","responsAbility, Grameen Impact India (GIII)",Fourth Partner Energy provides turnkey rooftop solar energy solutions for customers in India.,,
Flipkart,E-commerce,,62000000.0,,,2020,2007.0,Bangalore,"Binny Bansal, Sachin Bansal","Tencent Holdings, Walmart",Flipkart is an e-commerce marketplace that offers over 30 million products cross 70+ categories.,,
Vivriti Capital,FinTech,,1000000.0,,,2020,2017.0,Chennai,"Aniket Deshpande, Gaurav Kumar, Irfan Mohammed, Soumendra Ghosh, Vineet Sukumar","Aspada, Creation Investments Capital Management, LLC",Vivriti Capital is a marketplace for small enterprises and individuals that lack efficient access to financial services.,,
InsuranceDekho,FinTech,,20000000.0,,,2020,2017.0,Ludhiana,Ankit Agrawal,GirnarSoft,The funding for branding and marketing activities as well as strengthening the product and technology teams,,
BestDoc,HealthCare,,2100000.0,,,2020,2016.0,Kochi,"Afsal Salu, Fayaz Bin Abdu, Soudabi",,An Intelligent Patient Relationship Management (PRM) system for hospitals and other healthcare providers in India.,,
Byju’s,EdTech,,500000000.0,,,2020,2011.0,Bangalore,Byju Raveendran,"Owl Ventures, Tiger Global Management",An Indian educational technology and online tutoring firm,,
Melorra,Jewellery startup,,12500000.0,,,2020,2015.0,Bangalore,"Krishna Kumar, Saroja Yeramilli","Jamshed Jeejeebhoy, Symphony International Holdings",Melorra is an operator of an online jewelry store that is used to offer contemporary jewelry.,,
Reliance,Multinational conglomerate company,,2200000000.0,,,2020,1973.0,Mumbai,Dhirubhai Ambani,"Facebook, Google, KKR, Silver Lake","Reliance owns businesses across India engaged in energy, petrochemicals, textiles, natural resources",,
Inflexor Ventures,FinTech,,10000000.0,,,2020,2020.0,Mumbai,"Parampara Capital, Venkat Vallabhaneni, Jatin Desai",,Experienced Venture Capital-General Partner focused on Technology investments.,,
Pandorum,Deeptech startup,,5060000.0,,,2020,2011.0,Bangalore,Tuhin Bhowmick,"021 Capital, Karnataka Information Technology Venture Capital Fund",A Bangalore based biotechnology company with focus on tissue engineering and regenerative medicine.,,
SpeakIn,Social Network,,,,,2020,2018.0,Noida,Deepshikha Kumar,Homage Ventures.,"AI-enabled network of speakers and thought leaders, aka. experts",,
LetsUp,Publication,,,,,2020,2015.0,Mumbai,Suhas raikar,,"Provides News, Jobs, Information & Entertainment on WhatsApp, Absolutely free",,
Newsreach,Publication,,,,,2020,2018.0,Gujarat,"Darshan Shah, Soniya Kundnani",Mumbai Angels,NewsReach India offers partner publications a digital footprint,,
Dream11,Entertainment,,225000000.0,,,2020,2008.0,Mumbai,"Bhavit Sheth, Harsh Jain","Steadview Capital, Tencent Holdings",Dream11 is India’s Biggest Sports Game with 30 million+ users playing Fantasy Cricket,,
SignalX,SaaS platform,,750000.0,,,2020,2018.0,Hyderabad,Govind Balachandran,,"An AI-powered SaaS platform for corporate risk and due diligence for a comprehensive financial, legal, regulatory, and reputational risk analysis",,
JetSynthesys,Tech,,40000000.0,,,2020,2012.0,Mumbai,Rajan Navani,"Adar C. Poonawalla, Kris Gopalakrishnan",Gaming and entertainment startup,,
Vesta Space Technology,Tech Startup,,10000000.0,,,2020,2018.0,Pune,Arun Kumar Sureban,,VestaSpace Technology specialises in making small satellite platforms for commercial and scientific applications.,,
Dozee,HealthTech,,1600000.0,,,2020,2015.0,Bangalore,Gaurav Parchani,,Dozee offers health and wellness monitoring products.,,
Rebel Foods,Food,,50000000.0,,,2020,2011.0,Pune,"Jaydeep Barman, Kallol Banerjee",Coatue Management,"Known for its larger brands – Faasos, Behrouz Biryani, Oven story and Mandarin",,
Nykaa,Fashion,,24700000.0,,,2020,2012.0,Mumbai,Falguni Nayar,Steadview Capital,Cosmetics & beauty products online,,
Ketto,Finance,,7700000.0,,,2020,2012.0,Mumbai,"Varun Sheth, Kunal Kapoor","Mumbai Angels, Redcliffe Capital","Crowdfunding, Charity, E-commerce",,
Suryoday,Finance,,800000.0,,,2020,2008.0,Mumbai,R. Baskar Babu,"Gaja Capital, Kotak Life, Lok Capital",Banks that extends two distinct fixed deposit schemes,,
SucSEED,Finance,,1300000.0,,,2020,2016.0,Hyderabad,Vikrant Varshney,"DR. Moti Vyas, Udit Goyal",Venture Partners,,
Unacademy,EdTech,,150000000.0,,,2020,2015.0,Bangalore,"Gaurav Munjal, ?Roman Saini?","Nexus Venture Partners, Sequoia Capital",Unacademy is an Indian online education technology company,,
Strata,Real Estate,,19067328.0,,,2020,2019.0,Bangalore,"Lodha, Priyanka Rathore","Propstack, SAIF Partners","Commercial Real Estate, Commercial Property Investment, Best Long Term Investments",,
3one4 Capital,Venture capital,,100000000.0,,,2020,2016.0,Bangalore,"Pranav Pai, Siddarth Pai",,Use transformative capital and a deep involvement strategy to help Indian entrepreneurs,,
WE-Hub,Entreprenurship,,,,,2020,2018.0,Hyderabad,Deepthi Ravula,,WE HUB is the first-of-its-kind and only State-run platform for Women Entrepreneurs.,,
Zomato,Food devlivery,,62000000.0,,,2020,2008.0,Haryana,"Deepinder Goyal, Pankaj Chaddah","MacRitchie Investments, Baillie Gifford",Get online food delivery from restaurants near you,,
Vicara,Tech Startup,,,,,2020,2017.0,Bangalore,"Abhishek Satish, Adarsh Warrier",,A deep tech startup pioneering in motion-based interfaces and insights.,,
Gaana,Entertainment,,51000000.0,,,2020,2010.0,Gurugram,Pawan Agarwal,"Tencent Holdings, Times Internet",Gaana is a commercial music streaming service providing free and licensed music.,,
EM3 Agri,AgriTech,,1000000.0,,,2020,2013.0,Noida,"Rohtash Mal CMD, Adwitiya","Global Innovation Fund, Soros Economic Development Fund",A pioneering organization in the farming-as-a service (FaaS) space,,
Plum,Cosmetics,,115000.0,,,2020,2013.0,Thane,Shankar Prasad,"Ronald Conway, Bay Partners","Shampoos, Conditioner & Hair Mask For Healthy, Happy Hair",,
Odwen,Warehouse,,54000.0,,,2020,2018.0,Noida,Vijay Anand Bhagavatula,Prospect Partners.,India's first do-it-yourself warehouse management system.,,
Fasal,AgriTech,,20000.0,,,2020,2018.0,Bangalore,"Ananda Prakash Verma, Shailendra Tiwari","Omnivore, Zeroth.AI",Captures real-time data on crop growth conditions using on-farm sensors and delivers advisories to farmers in Indian languages,,
Trukky,Logistics,,,,,2020,2015.0,Ahmedabad,"Saswat Sahu, Rishi Raj",Mumbai Angels.,"Transportation, logistics services & cargo services.",,
BankBazaar,Online financial service,,9000000.0,,,2020,2008.0,Chennai,"Adhil Shetty, Arjun Shetty, Rati Shetty","Ramesh Srinivasan, Amazon",Check your latest Credit Score and get your Credit Report online in India for Free,,
Specsmakers,Eyeglasses,,3000000.0,,,2020,2011.0,Chennai,Pratik Shah,Eight Roads Ventures,"A leader in crafting stylish, high-quality, eyewear at affordable prices.",,
Grinntech,Battery design,,2000000.0,,,2020,2013.0,Dehradun,"Nikhilesh Mishra, Puneet Jain","Ashok Leyland, V Lakshmi Narayanan","Grinntech has a range of Lithium-ion batteries which sets new standards in Electrical safety, Energy density, Durability",,
CreditMantri,Online credit management startup,,803146.0,,,2020,2012.0,Chennai,"Ranjit Punja, R Sudarshan, Gowri Mukherjee","Ranjit Punja, R Sudarshan, Gowri Mukherjee",CreditMantri is a provider of comprehensive Credit Analysis and Credit Improvement programs.,,
Chai Waale,Beverage,,238000.0,,,2020,2018.0,Chennai,Vidur Maheswari,"Gunavanth Vaid, Bharat Kumar Sohanraj",Given the rising trend in the number of tea stalls in the city,,
Deepsync,Tech Startup,,300000.0,,,2020,2018.0,Bangalore,"Ishan Sharma, Rishikesh Kumar",Venkat Raju,"Deepsync is a revolutionary way to record your content, without you really speaking.",,
Byju’s,EdTech,,500000000.0,,,2020,2011.0,Bangalore,Byju Raveendran,"Owl Ventures, Tiger Global Management",An Indian educational technology and online tutoring firm,,
ConnectedH,HealthCare,,,,,2020,2016.0,Gurgaon,"Shubham Gupta, Suresh Singh",,The company’s vision is simple – Connected Healthcare.,,
Reliance Retail,E-commerce,,10220000.0,,,2020,2006.0,Mumbai,Mukesh Ambani,Silver Lake Partners,"Retailer delivering superior value to its customers, suppliers and shareholders.",,
QShala,EdTech,,300000.0,,,2020,2014.0,Bangalore,"Sachin Ravi, Raghav Chakravarthy",,A platform that helps kids learn about life skills,,
Pitstop,Car Service,,1020000.0,,,2020,2015.0,Bangalore,Mihir Mohan Mishra,"Clairvest Group, Ontario Centres of Excellence","Pitstop owns and operates a network of garages that provides car repair, detailing",,
Zomato,Food devlivery,,100000000.0,,,2020,2008.0,Haryana,"Deepinder Goyal, Pankaj Chaddah","MacRitchie Investments, Baillie Gifford",Get online food delivery from restaurants near you,,
Customfit ai,SaaS startup,,,,,2020,2019.0,Bangalore,"Ashwin Kumar, Shoaib Mohammed",,Operates on a SaaS model by providing a hyper-personalised website to users.,,
Nirmata,Tech,,,,,2020,2013.0,San Franciscao,"Damien Toledo, Jim Bugwadia, Ritesh Patel","Damien Toledo, Jim Bugwadia, Ritesh Patel",Nirmata offers a complete solution for Kubernetes management and deployment for cloud-based apps,,
Hire Me Car,TravelTech,Seed,,,,2020,2015.0,Noida,Anmol Singh Jaggi,US based NRI Investors,HireMeCar.com offers customers the fastest and easiest way to plan road travel.,,
Oga Fit,Fitness startup,Pre-series A,,,,2020,2017.0,Bangalore,Ashish Rawat,"Inflection Point Ventures, Mitesh Shah",The new-age home workout app that gives you an unmatched boutique digital fitness studio experience.,,
ShipsKart,E-commerce,Pre-series A,200000.0,,,2020,2018.0,New Delhi,"Dhruv Sawhney, Vivek Sahi, Sunny Bagla",Betatron,"ShipsKart platform that streamlines the way marine stores are ordered, approved and received on board with the help of technology.",,
SquadStack,Tech company,Series A,5000000.0,,,2020,2014.0,San Francisco,"Apurv Agrawal, Kanika Jain, Rishabh Ladha, Vikas Gulati","Chiratae Ventures, Blume Ventures","Empowering consumer businesses to improve their sales conversions and funnel efficiency, using Artificial Intelligence & Data Science.",,
Financepeer,EdTech,Pre-series A,3000000.0,,,2020,2017.0,Mumbai,"Debi Prasad Baral, Naveesh Reddy, Rohit Gajbhiye, Sunit Gajbhiye","Ravi Sanghvi, PitchRight Venture",Financepeer is an AI based peer to peer lending platform.,,
Cashify,E-commerce,Debt,10000000.0,,,2020,2009.0,Gurugram,"Amit Sethi, Mandeep Manocha, Nakul Kumar","Bessemer Venture Partners, CDH Investments",Cashify.in is an e-commerce platform for reselling used electronic gadgets.,,
Etrio,EV startup,Series A,3000000.0,,,2020,2017.0,Hyderabad,Deepak MV,HNIs,"Etrio is an electric vehicle company in India with tata ace electric, Electric Tata ace HT",,
Codeyoung,EdTech,Seed,,,,2020,2019.0,Bangalore,"Shailendra Dhakad, Rupika Taneja",Guild Capital,Codeyoung provides live online coding classes for kids between the age of 5 - 17.,,
StayQrious,EdTech,Seed,2000000.0,,,2020,2020.0,Bangalore,"Aanand Srinivas, Avinash Anand, Shankar Ram A",Y Combinator,"Live online coding courses with social learning. Build coding skills, confident communication and leadership skills with your very own coach.",,
Sunstone Eduversity,EdTech,Series A,3000000.0,,,2020,2014.0,Gurugram,"Ashish Munjal, Piyush Nangru",Prime Venture Partners,India's Only Business School That Offers MBA & PGDM Programs With 100% Placement Assurance.,,
Infilect,SaaS startup,Pre-series A,1500000.0,,,2020,2015.0,Bangalore,"Anand Prabhu Subramanian, Vijay Gabale","Mela Ventures, 1Crowd",Infilect Technologies specialises in visual content intelligence by parsing large-scale visual content such as photos and videos,,
MobiGarage,E-commerce,Pre-series A,,,,2020,2017.0,New Delhi,"Vaibhav Kapoor, Pulkit Kapoor",,An ecommerce platform for refurbished electronics.,,
Samunnati,Agriculture,Debt,20000000.0,,,2020,2014.0,Chennai,Anil Kumar,"responsAbility, Accel",Samunnati is a financial service provider focused on agri value chains.,,
WeInnovate Biosolutions,Startup laboratory,Seed,,,,2020,2016.0,Pune,"Dr Milind Choudhari, Dr Prasad Bhagat, and Dr Anupama",Chiratae ventures,Startup working dedicatedly in the area of healthcare-therapeutic solutions.,,
Yummy Corp,Food Industry,Series B,12000000.0,,,2020,2017.0,"Tangerang, Jawa Barat, Indonesia",Mario Suntanu,"Palm Drive Capital, Amatil X Ventures","Yummy Corp is a food & beverages company that provides delicious, fresh, and creative food solutions for everyday corporate and group needs.",,
Smallcase,FinTech,Series B,13400000.0,,,2020,2015.0,Bangalore,"Anugrah Shrivastava, Rohan Gupta, Vasanth Kamath","Sequoia Capital India, Blume Ventures",Smallcases are portfolios of stocks or ETFs created by India's top financial experts.,,
Clairvolex,Tech Startup,Debt,2000000.0,,,2020,2006.0,California,Manoj Pillai,"JF Mauritius SPV, IndusAge Partners",Clairvolex is an IP solutions company that manages IP assets of large corporations using an IPAM model.,,
Assiduus,E-commerce,Series A,1000000.0,,,2020,,Bangalore,Somdutta Singh,VC Firm K Partners,"Assiduus leverages its eCommerce experience to help build, grow and scale your brand on various eCommerce platforms",,
Brinton,HealthTech,Debt,1300000.0,,,2020,2014.0,California,Rahul Darda,"India Alternatives Private Equity Fund, Tata Capital",Brinton is one of the fastest growing Pharmaceutical Companies spreading its network worldwide.,,
AFK Gaming,Entertainment,Pre-series A,200000.0,,,2020,2012.0,Mumbai,Nishant Patel,,AFK Gaming is a media and entertainment and gaming company located in Mumbai.,,
Infarm,AgriTech,Series C,170000000.0,,,2020,2013.0,Berlin,"Erez Galonska, Guy Galonska, Osnat Michaeli","Bonnier Ventures, Hanaco Venture Capital",Infarm builds and distributes highly efficient vertical farms throughout cities to grow fresh produce right in your neighbourhood.,,
Zuper,SaaS startup,Seed,1100000.0,,,2020,2016.0,Seattle,Vijay Narasiman,"Gemba Capital, Gunderson Dettmer",Zuper is a productivity suite for service businesses to mobile field workforce and automate all business operations.,,
mCaffeine,Personal care startup,Series B,2900000.0,,,2020,2015.0,Mumbai,"Tarun Sharma, Vikas Lachhwani","RPSG Ventures, Amicus Capital","MCaffeine is a personal care brand that offers caffein-infused face, body, and hair care products.",,
Origa,FinTech,Debt,2000000.0,,,2020,2013.0,Andheri,Shrirang Tambe,"500 Startups, ah! Ventures",The charioteer of your growth at all times.,,
GullyBuy Software,Tech Startup,Pre-series A,543000.0,,,2020,2019.0,Pune,Shirish Deodhar,,To deliver a solution that will provide shopping convenience to every consumer in India,,
Recordent,FinTech,Seed,,,,2020,2019.0,Hyderabad,Harish Mamtani,,A technology-enabled platform that helps MSMEs to increase their business efficiency through collection of dues,,
MPL,Entertainment,Series C,90000000.0,,,2020,2018.0,Bangalore,"Shubham Malhotra, Sai Srinivas","Base Partners, GO Ventures",Mobile Premier League is the mobile e-Sports platform based in India.,,
Penny,SaaS startup,Seed,1300000.0,,,2020,2020.0,Riyadh,"Iyad Aldalooj, Majid Aldalooj, Mohammed Ibrahim",,Offer various development solutions and mainly focus on helping startups,,
Onsitego,Customer service company,Series B,30000000.0,,,2020,2010.0,Mumbai,Kunal Mahipal,"Accel, Zodius Capital",Onsitego is a customer service company for device and appliance repairs.,,
Precily,SaaS  startup,Seed,,,,2020,2017.0,California,Bharath Rao,"Windrose Capital, Anil Advani",Precily is Artificial Intelligence platform for enterprises that increases efficiency of workforce by providing AI based solutions.,,
SmartClean,Tech Startup,Pre- series A,3400000.0,,,2020,2017.0,Singapore,"Abhishek Mishra, Kush Agarwal, Lav Agarwal, Stella Hu","Seeds Capital, AIM Smart City",SmartClean Technologies is an AI company that offers data-driven cleaning operations designed for facilities.,,
ClanConnect,Marketing startup,Seed,600000.0,,,2020,,Delhi,"Kunal Kishore Sinha, Sagar Pushp",,"AI-driven influencer marketing platform ClanConnect.ai, which helps brands make their campaigns more data and result-oriented",,
Servify,Service industry,Series C,23000000.0,,,2020,2015.0,Mumbai,Sreevathsa Prabhakar,"Blume Ventures, Tetrao",Servify is a self-learning platform that provides device management services and warranty solutions.,,
ShareChat,Social media,Pre-series C,40000000.0,,,2020,2015.0,Bangalore,"Ankush Sachdeva, Bhanu Pratap Singh, Bhanu Singh, Farid Ahsan","Lightspeed venture partners, saif partners",ShareChat is a social networking and regional content platform.,,
Rephrase.ai,AI,Seed,1500000.0,,,2020,2018.0,Bangalore,"Ashray Malhotra, Nisheeth Lahoti, Shivam Mangla","Techstars Bangalore Accelerator, Techstars",Rephrase.ai helps in creating high-quality videos and animations through an AI-powered visual dubbing tool.,,
Melorra,Jewellery,Debt,8090000.0,,,2020,2015.0,Bangalore,"Saroja Yeramilli, R Krishnakumar","Shadows Holdings, Lightbox","Buy Latest Gold, Diamond & Gemstone Jewellery Designs Online Rings, Earrings, Necklace",,
FabHotels,Hospitality,Series B,1030000.0,,,2020,2014.0,Gurugram,"Adarsh Manpuria, Vaibhav Aggarwal","RB Investments Pte. Ltd, Goldman Sachs",FabHotels is a network of 3 star budget hotels in India,,
EkAnek,Tech Startup,Edge,5040000.0,,,2020,2018.0,New Delhi,"Chandranshu Sinha, Kartik Sheth","Lightspeed India Partners, Sequoia Capital India",EkAnek Networks is a new startup that is focused on building the ecosystem for new age brands in lifestyle categories,,
Cub McPaws,AR startup,Pre-series A,800000.0,,,2020,2018.0,Mumbai,"Shah, Abhay Bhat",Venture Catalysts,Cub McPaws is a kids clothing brand.,,
Zimyo,HR Tech startup,Seed,1500000.0,,,2020,2018.0,Gurgaon,"Ajay Kadyan, Kumar Mayank","Abhishant Pant, Chiranth Patil",Employee experience platform that empowers organizations to manage and retain great talent!,,
PumPumPum,Automotive Startup,Debt,360000.0,,,2020,2018.0,Gurgaon,"Tarun Lawadia, Sameer Kalra",,Pumpumpum is a car rental company,,
Burgerama,Food Startup,Pre-series A,,,,2020,2018.0,Gurgaon,Kabir Bose,"Madison, Anicut",Burgerama is a unit of Junket Foods Private Limited,,
Moms Co,HealthCare,Series B,8000000.0,,,2020,2016.0,Gurgaon,"Malika Datt Sadani, Mohit Sadaani","DSG Consumer Partners, Saama Capital",The Moms Co. creates a safe and natural formulated products for babies that are certified toxin-free,,
DillyHub,Publication,Seed,1400000.0,,,2020,2018.0,Seoul,Ji Cheol Ryu,"Kakao Ventures, Shinhan Capital",A service that promotes and facilitates the works of independent comic artists,,
FPL Technologies,FinTech,Series A,10000000.0,,,2020,2019.0,Pune,"Anurag Sinha, Rupesh Kumar, Vibhav Hathi","Matrix Partners India, Hummingbird Ventures",FPL is on a mission to re-imagine credit and payments from first principles and is building a mobile-first credit card,,
FITTR,Fitness startup,Pre-series A,2000000.0,,,2020,2016.0,Pune,"Jitendra Chouksey, Sonal Singh, Jyoti Dabas, Bala Krishna Reddy, Rohit Chattopadhyay.",Surge,Fitness Social Network & Consultation Platform that helps you achieve your Health & Fitness goals.,,
Illumnus,EdTech Startup,Seed,100000.0,,,2020,2018.0,Pune,"Akash Deep Singhal, Akshaya Singhal, Devashish Saxena, Gauri Dehnkar",23 High Networth Individuals (HNIs).,"An innovative EdTech startup from IITB & BITS alumni, offering B2B SaaS-based collaborative LMS for Schools and Universities",,
CashKaro,E-commerce,Series B,10000000.0,,,2020,2012.0,Gurgaon,"Rohan Bhargava, Swati Bhargava","Ratan Tata, Kalaari Capital",Cashkaro is a coupons and cashback site rewarding customers for visiting online retailers through their site.,,
